iter	Logloss
0	0.5745235383
1	0.5012460287
2	0.4575972942
3	0.4284639874
4	0.3962759
5	0.3842152949
6	0.3753851336
7	0.3668533278
8	0.3569569398
9	0.3480506805
10	0.3419513428
11	0.328668909
12	0.3202182034
13	0.3121088964
14	0.3017560404
15	0.2940561441
16	0.2892945795
17	0.2808354117
18	0.2760842725
19	0.2742265719
20	0.2645736179
21	0.2609927949
22	0.2580666661
23	0.2505908234
24	0.2423741243
25	0.2372664374
26	0.2287551325
27	0.22363335
28	0.2140376997
29	0.2094169054
30	0.2025662523
31	0.198031638
32	0.1939565887
33	0.1813510742
34	0.1747291885
35	0.1733106415
36	0.1679672652
37	0.1663197015
38	0.1614343841
39	0.1605942525
40	0.1560666923
41	0.1519138989
42	0.1504970792
43	0.1457054314
44	0.1416232098
45	0.1412231208
46	0.1360368197
47	0.1332360938
48	0.1310823553
49	0.1270097078
50	0.121710614
51	0.1195294435
52	0.1173299244
53	0.1147885039
54	0.1120503067
55	0.1080699692
56	0.1055591344
57	0.1036852505
58	0.1019251932
59	0.09978905381
60	0.09798090892
61	0.09614197222
62	0.09419604297
63	0.09279719273
64	0.09252149437
65	0.09113015265
66	0.08867170754
67	0.08688093768
68	0.08471007906
69	0.08283901383
70	0.08272528487
71	0.08087901487
72	0.0787966175
73	0.07795621972
74	0.07651374331
75	0.07527079596
76	0.07414228571
77	0.0735557472
78	0.0724856213
79	0.07167801322
80	0.06977231892
81	0.06929446907
82	0.06563473313
83	0.06325492319
84	0.06118695685
85	0.05954880398
86	0.05868477105
87	0.05793946657
88	0.05733658542
89	0.05696786772
90	0.05609420458
91	0.05577278425
92	0.05457533776
93	0.05317004371
94	0.05209731081
95	0.05124670843
96	0.05032007522
97	0.04963187082
98	0.04955237797
99	0.04841001367
100	0.0480815587
101	0.04761487084
102	0.0473157227
103	0.0472354784
104	0.04660499311
105	0.04581063496
106	0.04475816822
107	0.04400375448
108	0.04361766595
109	0.04327679692
110	0.04228512848
111	0.04108208327
112	0.04043581434
113	0.04000842575
114	0.03919046195
115	0.03883238992
116	0.03810674202
117	0.03810684743
118	0.03721576862
119	0.03668813634
120	0.03611070243
121	0.03538824761
122	0.03488122638
123	0.03408727941
124	0.03352706058
125	0.03297628923
126	0.03236033541
127	0.03169470092
128	0.03114675086
129	0.03025908567
130	0.02976050349
131	0.02933533226
132	0.02900542276
133	0.02892698178
134	0.02839503258
135	0.02800559057
136	0.02735778947
137	0.02711020158
138	0.02679283915
139	0.02650344743
140	0.02635726364
141	0.02593611805
142	0.02523357209
143	0.02480166675
144	0.02466191909
145	0.02435515083
146	0.02404974854
147	0.02365454323
148	0.02339573456
149	0.02320212478
150	0.02289608592
151	0.02275478165
152	0.02261231377
153	0.02220724553
154	0.02204140087
155	0.02192146882
156	0.02188609677
157	0.02170274796
158	0.02154813128
159	0.02147110018
160	0.02128492653
161	0.02108760889
162	0.02076129168
163	0.02057238257
164	0.0204701392
165	0.02034182438
166	0.02010605831
167	0.02004680303
168	0.01994949042
169	0.0197891552
170	0.01974563405
171	0.01926761084
172	0.01915960642
173	0.01896807803
174	0.01856446516
175	0.01831301267
176	0.0182609532
177	0.01822957224
178	0.01800267884
179	0.01777374225
180	0.01765939794
181	0.01742041065
182	0.0172883072
183	0.01704309544
184	0.01678887689
185	0.01653354853
186	0.01649245398
187	0.01642845148
188	0.01626664399
189	0.01614770802
190	0.0159357793
191	0.01579525457
192	0.01567219901
193	0.01557420459
194	0.01521152432
195	0.01514328574
196	0.01495267663
197	0.01481045941
198	0.01471752125
199	0.01456139631
200	0.01448983209
201	0.01423439969
202	0.01407825911
203	0.01397716689
204	0.01383476113
205	0.01363894952
206	0.01351994185
207	0.01345526707
208	0.01336077907
209	0.01329644915
210	0.0132662795
211	0.01302467541
212	0.012973584
213	0.01292130895
214	0.01288112178
215	0.01273356148
216	0.0127110447
217	0.01253617754
218	0.01245193459
219	0.01231881168
220	0.01226930654
221	0.01210610801
222	0.01203392235
223	0.01196799202
224	0.01193770045
225	0.01186687594
226	0.01181594326
227	0.01179503853
228	0.01169489852
229	0.01150502646
230	0.01145955567
231	0.01144240955
232	0.01132432836
233	0.01130824378
234	0.0112816758
235	0.01113777441
236	0.01105757829
237	0.01099353371
238	0.0109935156
239	0.01085844869
240	0.01069501012
241	0.0106424724
242	0.01044530319
243	0.0103113597
244	0.01023635994
245	0.0101954541
246	0.01019543881
247	0.01010079233
248	0.01008848095
249	0.01002311305
250	0.009938997254
251	0.009875273426
252	0.009830089128
253	0.009824861126
254	0.009711947756
255	0.009609668579
