iter	Passed	Remaining
0	2	1373
1	16	4130
2	22	3691
3	26	3322
4	30	2991
5	32	2716
6	48	3431
7	65	4011
8	76	4171
9	82	4030
10	88	3939
11	116	4744
12	142	5323
13	145	5067
14	157	5093
15	166	5049
16	193	5489
17	210	5631
18	214	5435
19	231	5561
20	277	6323
21	285	6213
22	293	6093
23	305	6065
24	314	5977
25	322	5884
26	329	5777
27	338	5708
28	343	5585
29	347	5439
30	354	5361
31	359	5251
32	368	5208
33	373	5119
34	378	5027
35	382	4929
36	385	4825
37	387	4713
38	390	4616
39	392	4513
40	394	4421
41	398	4342
42	402	4275
43	404	4195
44	407	4123
45	410	4046
46	415	4002
47	419	3952
48	422	3889
49	426	3834
50	430	3786
51	438	3777
52	440	3718
53	445	3682
54	450	3648
55	454	3607
56	457	3554
57	461	3518
58	464	3472
59	468	3435
60	470	3388
61	473	3347
62	480	3335
63	483	3294
64	486	3253
65	488	3211
66	491	3177
67	493	3137
68	496	3100
69	499	3067
70	500	3026
71	503	2991
72	506	2959
73	513	2953
74	518	2936
75	521	2910
76	526	2892
77	534	2889
78	536	2859
79	541	2843
80	544	2815
81	546	2785
82	549	2760
83	552	2736
84	555	2712
85	560	2699
86	564	2678
87	567	2656
88	574	2650
89	578	2633
90	582	2615
91	584	2592
92	587	2572
93	590	2549
94	592	2527
95	597	2515
96	601	2497
97	605	2483
98	608	2463
99	612	2448
100	624	2467
101	632	2468
102	638	2462
103	642	2444
104	644	2426
105	647	2406
106	650	2389
107	654	2374
108	656	2354
109	659	2336
110	663	2326
111	665	2306
112	669	2294
113	673	2279
114	675	2260
115	677	2242
116	679	2225
117	681	2205
118	683	2188
119	696	2204
120	703	2202
121	707	2191
122	711	2180
123	716	2172
124	719	2157
125	721	2142
126	725	2129
127	727	2114
128	732	2106
129	738	2103
130	741	2087
131	743	2071
132	748	2064
133	750	2050
134	753	2036
135	755	2022
136	761	2017
137	764	2005
138	770	2002
139	777	1998
140	779	1985
141	782	1971
142	785	1959
143	788	1950
144	793	1943
145	797	1933
146	799	1919
147	802	1908
148	804	1895
149	809	1889
150	812	1878
151	815	1866
152	818	1856
153	824	1852
154	844	1879
155	849	1872
156	859	1878
157	862	1867
158	865	1857
159	867	1844
160	872	1836
161	874	1825
162	876	1812
163	879	1800
164	881	1790
165	885	1780
166	893	1780
167	896	1772
168	899	1762
169	905	1758
170	909	1748
171	911	1737
172	913	1726
173	916	1716
174	918	1706
175	921	1696
176	924	1687
177	927	1677
178	931	1670
179	940	1672
180	943	1663
181	952	1664
182	959	1661
183	964	1655
184	967	1648
185	971	1639
186	974	1631
187	978	1623
188	982	1616
189	987	1610
190	990	1602
191	997	1599
192	1000	1590
193	1002	1581
194	1006	1573
195	1012	1571
196	1015	1562
197	1019	1554
198	1021	1545
199	1025	1538
200	1030	1533
201	1034	1526
202	1037	1517
203	1040	1510
204	1050	1511
205	1054	1505
206	1059	1499
207	1063	1493
208	1070	1489
209	1077	1487
210	1082	1482
211	1087	1477
212	1092	1471
213	1098	1467
214	1104	1464
215	1107	1456
216	1110	1448
217	1113	1439
218	1115	1431
219	1120	1426
220	1122	1417
221	1126	1410
222	1128	1401
223	1131	1394
224	1141	1395
225	1145	1389
226	1150	1383
227	1153	1375
228	1155	1367
229	1159	1360
230	1162	1353
231	1166	1347
232	1170	1341
233	1172	1332
234	1174	1324
235	1177	1317
236	1182	1312
237	1185	1305
238	1188	1297
239	1190	1290
240	1192	1282
241	1196	1275
242	1201	1270
243	1204	1264
244	1209	1258
245	1213	1252
246	1216	1245
247	1218	1238
248	1220	1230
249	1222	1222
250	1225	1215
251	1235	1216
252	1238	1209
253	1239	1200
254	1243	1194
255	1245	1187
256	1248	1180
257	1251	1173
258	1253	1166
259	1256	1159
260	1262	1155
261	1266	1150
262	1269	1143
263	1271	1136
264	1276	1131
265	1279	1125
266	1281	1118
267	1284	1112
268	1288	1106
269	1293	1101
270	1296	1095
271	1300	1090
272	1302	1083
273	1307	1078
274	1310	1071
275	1312	1065
276	1314	1058
277	1317	1052
278	1321	1047
279	1325	1041
280	1332	1038
281	1335	1032
282	1341	1028
283	1343	1021
284	1346	1015
285	1359	1017
286	1362	1011
287	1367	1006
288	1372	1001
289	1374	995
290	1377	989
291	1380	983
292	1384	978
293	1390	974
294	1393	968
295	1397	963
296	1400	957
297	1405	952
298	1408	946
299	1410	940
300	1414	935
301	1419	930
302	1421	924
303	1425	918
304	1427	912
305	1430	907
306	1434	901
307	1438	896
308	1445	893
309	1447	887
310	1452	882
311	1454	876
312	1458	871
313	1463	866
314	1470	863
315	1473	857
316	1475	852
317	1477	845
318	1480	839
319	1484	835
320	1488	829
321	1490	824
322	1491	817
323	1495	812
324	1500	808
325	1503	802
326	1505	796
327	1508	790
328	1510	785
329	1515	780
330	1518	775
331	1521	770
332	1527	765
333	1532	761
334	1537	757
335	1540	751
336	1542	746
337	1547	741
338	1550	736
339	1553	731
340	1556	725
341	1560	720
342	1563	715
343	1567	710
344	1569	705
345	1572	699
346	1576	695
347	1580	690
348	1583	684
349	1586	679
350	1590	675
351	1594	670
352	1597	665
353	1599	659
354	1602	654
355	1605	649
356	1609	644
357	1611	639
358	1614	634
359	1617	628
360	1620	623
361	1625	619
362	1629	615
363	1633	610
364	1635	605
365	1640	600
366	1645	596
367	1648	591
368	1651	586
369	1652	580
370	1657	576
371	1661	571
372	1663	566
373	1666	561
374	1668	556
375	1674	552
376	1676	546
377	1678	541
378	1680	536
379	1683	531
380	1685	526
381	1689	521
382	1691	516
383	1694	511
384	1696	506
385	1700	502
386	1705	498
387	1709	493
388	1712	488
389	1715	483
390	1720	479
391	1723	474
392	1729	470
393	1732	466
394	1739	462
395	1743	457
396	1745	452
397	1748	447
398	1750	443
399	1754	438
400	1757	433
401	1764	430
402	1775	427
403	1779	422
404	1782	418
405	1789	414
406	1792	409
407	1795	404
408	1797	399
409	1799	394
410	1802	390
411	1805	385
412	1807	380
413	1810	376
414	1812	371
415	1815	366
416	1821	362
417	1827	358
418	1831	354
419	1837	350
420	1840	345
421	1842	340
422	1845	335
423	1850	331
424	1853	327
425	1855	322
426	1858	317
427	1861	313
428	1864	308
429	1867	304
430	1870	299
431	1872	294
432	1875	290
433	1878	285
434	1883	281
435	1886	276
436	1890	272
437	1893	268
438	1897	263
439	1899	259
440	1903	254
441	1906	250
442	1908	245
443	1910	240
444	1916	236
445	1919	232
446	1921	227
447	1924	223
448	1927	218
449	1931	214
450	1937	210
451	1939	205
452	1941	201
453	1947	197
454	1953	193
455	1956	188
456	1957	184
457	1960	179
458	1963	175
459	1967	171
460	1969	166
461	1972	162
462	1974	157
463	1980	153
464	1982	149
465	1984	144
466	1987	140
467	1989	136
468	1992	131
469	1995	127
470	1999	123
471	2001	118
472	2004	114
473	2009	110
474	2013	105
475	2016	101
476	2019	97
477	2022	93
478	2026	88
479	2032	84
480	2041	80
481	2043	76
482	2046	72
483	2048	67
484	2051	63
485	2055	59
486	2058	54
487	2061	50
488	2064	46
489	2072	42
490	2076	38
491	2079	33
492	2081	29
493	2084	25
494	2086	21
495	2089	16
496	2091	12
497	2095	8
498	2098	4
499	2105	0
