iter	Passed	Remaining
0	78	78105
1	104	52084
2	128	42866
3	155	38667
4	186	37149
5	211	34988
6	235	33473
7	262	32571
8	287	31625
9	315	31211
10	341	30683
11	362	29850
12	401	30515
13	447	31523
14	481	31640
15	600	36925
16	626	36238
17	659	35953
18	688	35542
19	714	35012
20	743	34655
21	768	34158
22	800	34016
23	1000	40675
24	1038	40508
25	1079	40451
26	1116	40225
27	1153	40043
28	1181	39555
29	1227	39678
30	1254	39202
31	1279	38713
32	1303	38185
33	1325	37673
34	1367	37704
35	1390	37228
36	1417	36900
37	1446	36613
38	1473	36302
39	1502	36050
40	1525	35674
41	1556	35498
42	1580	35166
43	1608	34941
44	1634	34688
45	1661	34458
46	1688	34242
47	1713	33986
48	1740	33786
49	1782	33870
50	1806	33618
51	1839	33531
52	1866	33357
53	1892	33145
54	1920	32992
55	1942	32745
56	1975	32674
57	1999	32474
58	2024	32282
59	2048	32086
60	2074	31937
61	2104	31833
62	2130	31684
63	2155	31523
64	2189	31498
65	2217	31384
66	2245	31265
67	2271	31126
68	2299	31023
69	2323	30867
70	2349	30743
71	2376	30630
72	2405	30551
73	2433	30448
74	2459	30334
75	2485	30220
76	2512	30118
77	2536	29983
78	2561	29861
79	2584	29725
80	2625	29784
81	2649	29661
82	2676	29571
83	2701	29458
84	2730	29390
85	2763	29375
86	2789	29276
87	2815	29174
88	2848	29158
89	2874	29066
90	2902	28988
91	2929	28913
92	2958	28856
93	2983	28751
94	3013	28707
95	3046	28684
96	3090	28771
97	3114	28665
98	3142	28599
99	3173	28559
100	3201	28495
101	3225	28398
102	3254	28346
103	3286	28311
104	3313	28245
105	3339	28167
106	3365	28083
107	3394	28032
108	3426	28009
109	3456	27963
110	3485	27914
111	3513	27854
112	3538	27773
113	3562	27690
114	3590	27634
115	3620	27588
116	3643	27496
117	3669	27428
118	3694	27349
119	3727	27336
120	3752	27263
121	3776	27176
122	3803	27118
123	3840	27132
124	3866	27066
125	3892	27001
126	3919	26939
127	3950	26912
128	3972	26821
129	3997	26753
130	4024	26697
131	4055	26667
132	4081	26606
133	4104	26525
134	4129	26460
135	4154	26394
136	4180	26334
137	4205	26266
138	4238	26255
139	4267	26216
140	4292	26148
141	4317	26087
142	4339	26008
143	4370	25982
144	4396	25926
145	4421	25864
146	4448	25815
147	4478	25781
148	4502	25713
149	4530	25673
150	4553	25603
151	4583	25570
152	4610	25522
153	4634	25461
154	4670	25460
155	4694	25396
156	4717	25332
157	4742	25275
158	4766	25208
159	4795	25177
160	4816	25101
161	4843	25055
162	4873	25024
163	4905	25006
164	4931	24957
165	4958	24913
166	4982	24851
167	5010	24813
168	5033	24750
169	5062	24714
170	5091	24682
171	5120	24649
172	5144	24590
173	5169	24538
174	5193	24482
175	5239	24528
176	5269	24503
177	5292	24441
178	5322	24410
179	5345	24352
180	5371	24307
181	5395	24252
182	5425	24221
183	5452	24182
184	5487	24173
185	5512	24124
186	5541	24091
187	5569	24054
188	5592	23998
189	5618	23954
190	5645	23912
191	5671	23866
192	5695	23815
193	5723	23778
194	5752	23748
195	5776	23697
196	5801	23649
197	5824	23593
198	5854	23564
199	5879	23518
200	5912	23504
201	5935	23448
202	5964	23418
203	5992	23380
204	6019	23345
205	6049	23315
206	6078	23285
207	6104	23242
208	6130	23202
209	6152	23146
210	6181	23114
211	6210	23084
212	6235	23038
213	6261	22996
214	6288	22960
215	6320	22940
216	6346	22901
217	6380	22887
218	6409	22856
219	6431	22802
220	6463	22782
221	6492	22751
222	6518	22711
223	6546	22677
224	6577	22656
225	6603	22615
226	6629	22576
227	6657	22543
228	6680	22492
229	6714	22480
230	6750	22472
231	6784	22459
232	6815	22436
233	6843	22400
234	6865	22348
235	6894	22320
236	6923	22290
237	6948	22248
238	6977	22218
239	7011	22203
240	7040	22172
241	7065	22130
242	7090	22089
243	7116	22048
244	7144	22016
245	7177	21998
246	7206	21968
247	7238	21949
248	7265	21912
249	7291	21874
250	7323	21853
251	7354	21828
252	7381	21793
253	7409	21763
254	7437	21728
255	7468	21706
256	7499	21681
257	7526	21645
258	7553	21610
259	7588	21597
260	7612	21553
261	7645	21535
262	7678	21516
263	7705	21481
264	7734	21452
265	7760	21415
266	7789	21385
267	7815	21348
268	7840	21305
269	7866	21268
270	7897	21243
271	7924	21209
272	7952	21178
273	7975	21132
274	8014	21130
275	8040	21091
276	8069	21062
277	8100	21037
278	8122	20990
279	8150	20958
280	8176	20920
281	8201	20881
282	8230	20853
283	8253	20808
284	8278	20769
285	8304	20733
286	8337	20712
287	8368	20689
288	8400	20665
289	8431	20641
290	8454	20597
291	8480	20561
292	8502	20517
293	8535	20497
294	8565	20470
295	8590	20431
296	8616	20395
297	8649	20374
298	8676	20341
299	8701	20303
300	8730	20275
301	8759	20246
302	8781	20200
303	8810	20172
304	8838	20140
305	8863	20102
306	8894	20078
307	8919	20040
308	8948	20010
309	8978	19984
310	9005	19950
311	9029	19910
312	9060	19887
313	9087	19853
314	9111	19813
315	9137	19778
316	9168	19753
317	9190	19711
318	9215	19673
319	9241	19637
320	9265	19599
321	9302	19586
322	9325	19546
323	9354	19517
324	9383	19488
325	9407	19450
326	9432	19413
327	9458	19378
328	9489	19353
329	9511	19310
330	9535	19271
331	9558	19232
332	9587	19204
333	9615	19173
334	9640	19137
335	9667	19104
336	9692	19068
337	9731	19059
338	9754	19018
339	9781	18988
340	9809	18957
341	9836	18925
342	9868	18902
343	9895	18871
344	9920	18835
345	9947	18803
346	9974	18770
347	10001	18737
348	10028	18707
349	10053	18670
350	10078	18635
351	10104	18601
352	10135	18576
353	10164	18548
354	10188	18510
355	10221	18491
356	10250	18461
357	10277	18430
358	10308	18406
359	10335	18373
360	10362	18341
361	10386	18306
362	10411	18270
363	10440	18241
364	10469	18214
365	10495	18180
366	10519	18143
367	10559	18135
368	10583	18097
369	10612	18069
370	10635	18031
371	10663	18002
372	10690	17970
373	10716	17936
374	10741	17901
375	10763	17863
376	10793	17837
377	10818	17802
378	10842	17765
379	10875	17743
380	10898	17706
381	10925	17674
382	10957	17652
383	10981	17616
384	11012	17592
385	11038	17558
386	11062	17522
387	11089	17491
388	11120	17467
389	11144	17431
390	11172	17400
391	11196	17366
392	11228	17343
393	11255	17311
394	11282	17280
395	11305	17244
396	11336	17219
397	11375	17206
398	11412	17190
399	11459	17189
400	11509	17192
401	11551	17183
402	11588	17167
403	11622	17145
404	11665	17137
405	11704	17124
406	11755	17127
407	11794	17113
408	11822	17082
409	11854	17058
410	11887	17035
411	11913	17003
412	11944	16976
413	11970	16944
414	12000	16916
415	12027	16884
416	12053	16852
417	12107	16858
418	12161	16863
419	12415	17145
420	12495	17184
421	12577	17226
422	12621	17217
423	12642	17174
424	12665	17136
425	12689	17097
426	12715	17063
427	12737	17023
428	12759	16982
429	12782	16944
430	12803	16903
431	12830	16869
432	12851	16828
