iter	Logloss
0	0.6601124201
1	0.6325768598
2	0.6066668572
3	0.5817441659
4	0.5587927882
5	0.535080202
6	0.5129270263
7	0.4934960232
8	0.4734751281
9	0.4561644558
10	0.44156668
11	0.4272566151
12	0.414482096
13	0.3999824859
14	0.3876650174
15	0.377192925
16	0.365547036
17	0.3553450524
18	0.345391099
19	0.337836923
20	0.3299280307
21	0.32140063
22	0.3141909282
23	0.3076866924
24	0.3002218107
25	0.2948195894
26	0.2901149342
27	0.2845557075
28	0.2782275475
29	0.2732640426
30	0.2683820711
31	0.2639630472
32	0.2600097888
33	0.2570392606
34	0.2540381354
35	0.250794454
36	0.2481266468
37	0.2454667029
38	0.242174365
39	0.2398355471
40	0.2376568775
41	0.2352866352
42	0.2332624593
43	0.2306870391
44	0.2281899789
45	0.2262794707
46	0.2243468839
47	0.2224443752
48	0.2205948194
49	0.2190571103
50	0.2174531971
51	0.2158527919
52	0.2145460478
53	0.2135354642
54	0.2120770481
55	0.2109302098
56	0.2098544211
57	0.2083926803
58	0.2071519509
59	0.2060787439
60	0.2047907683
61	0.2036018747
62	0.2028212769
63	0.2018575958
64	0.2009466764
65	0.2001192343
66	0.1992935105
67	0.1982372556
68	0.1972255574
69	0.1962974931
70	0.1957215502
71	0.1951511628
72	0.1945333177
73	0.1940562347
74	0.1933132582
75	0.1926821286
76	0.1923158486
77	0.1917500367
78	0.1911251869
79	0.1906182874
80	0.1900750485
81	0.1895940304
82	0.1889991945
83	0.1884980878
84	0.18815308
85	0.1875096698
86	0.1870500582
87	0.1865643626
88	0.1862446279
89	0.1858529657
90	0.1856614559
91	0.1852260096
92	0.1849869594
93	0.1846922292
94	0.1843203983
95	0.1839647913
96	0.1834552102
97	0.1832277789
98	0.1828615455
99	0.1824214279
100	0.1820848777
101	0.1818158252
102	0.1814604093
103	0.1811011426
104	0.1807437039
105	0.1804734076
106	0.1801811597
107	0.1797423217
108	0.1796087581
109	0.1793630344
110	0.1790775604
111	0.1788039466
112	0.1786061949
113	0.1783415678
114	0.1780900274
115	0.1777915015
116	0.177588341
117	0.1773740115
118	0.1771287737
119	0.1769208214
120	0.1767305601
121	0.1764595157
122	0.1762492918
123	0.1760841974
124	0.1758403982
125	0.1755589243
126	0.175463607
127	0.1753502809
128	0.1752146403
129	0.1751372275
130	0.1749186577
131	0.1747150534
132	0.1745798806
133	0.1745654137
134	0.1744526957
135	0.1743609722
136	0.1743132144
137	0.1742539757
138	0.174131769
139	0.1739882901
140	0.1739023463
141	0.1736011442
142	0.1733994953
143	0.1733060976
144	0.1732194234
145	0.1729782423
146	0.1727655447
147	0.1726459046
148	0.1725225293
149	0.1723951586
150	0.1723449007
151	0.1721828083
152	0.1720165087
153	0.1719094489
154	0.1718614558
155	0.1718211708
156	0.1716764046
157	0.1715729247
158	0.1714657701
159	0.1714426844
160	0.1713500714
161	0.1712721685
162	0.1710616225
163	0.1709118902
164	0.170793138
165	0.1707696351
166	0.1707217075
167	0.1705635609
168	0.1703713508
169	0.1702347311
170	0.1701896662
171	0.1701655876
172	0.1700665468
173	0.1700169543
174	0.1698963163
175	0.1698136003
176	0.169755273
177	0.1696515255
178	0.1694919038
179	0.1693683782
180	0.1692672149
181	0.1690848976
182	0.1688146227
183	0.1686177122
184	0.1683248673
185	0.1682106595
186	0.1680924541
187	0.1680145215
188	0.1678954005
189	0.1677992122
190	0.1676925322
191	0.1676107993
192	0.1675229658
193	0.1674507999
194	0.1674403426
195	0.1673575745
196	0.1673224919
197	0.1672504659
198	0.1671482187
199	0.1670624512
200	0.1670130229
201	0.1669367733
202	0.1668817416
203	0.1667470251
204	0.1666626197
205	0.1666077592
206	0.1665323307
207	0.1664364813
208	0.1663541508
209	0.1663052873
210	0.1662621474
211	0.1662213776
212	0.1661028079
213	0.1659106393
214	0.1658117113
215	0.1655768091
216	0.1655183152
217	0.1654976937
218	0.1653470083
219	0.1653341626
220	0.1652509382
221	0.1652214902
222	0.1650519818
223	0.1649647325
224	0.1649276017
225	0.1647520249
226	0.1646355981
227	0.1646026044
228	0.1645874924
229	0.1645390104
230	0.1644960343
231	0.1643802707
232	0.1641230028
233	0.1640598983
234	0.1639201421
235	0.1638778528
236	0.163752406
237	0.1637367478
238	0.163687676
239	0.1636273606
240	0.1635269919
241	0.1634625474
242	0.163380295
243	0.1633286735
244	0.1632564225
245	0.1630913225
246	0.1630661494
247	0.1630346765
248	0.1629525036
249	0.1627624685
250	0.1627110647
251	0.1626555739
252	0.1625844186
253	0.1625487845
254	0.1623969405
255	0.1622823396
256	0.1622330366
257	0.162047351
258	0.1619646754
259	0.1618719726
260	0.1618693015
261	0.1617824201
262	0.1616693948
263	0.161631626
264	0.1614889217
265	0.1612939151
266	0.1611778555
267	0.1611021582
268	0.1609618601
269	0.1609358757
270	0.160846319
271	0.1606866711
272	0.1605562309
273	0.1605326394
274	0.1603858487
275	0.160325718
276	0.1601989939
277	0.1601596954
278	0.1601176655
279	0.159973027
280	0.1598868272
281	0.1598381017
282	0.1596636732
283	0.1596022563
284	0.1594452556
285	0.1593670056
286	0.1593200276
287	0.1591956251
288	0.1591564309
289	0.1590291186
290	0.1589925697
291	0.1589356563
292	0.1587572447
293	0.1586569417
294	0.1586400544
295	0.1585938003
296	0.1585386112
297	0.1584360023
298	0.1583344156
299	0.1582850659
300	0.1582093967
301	0.1581917314
302	0.1581433527
303	0.1580288118
304	0.1580023977
305	0.1579053263
306	0.1578051877
307	0.1577316729
308	0.1575824249
309	0.157469912
310	0.1573738045
311	0.1572851353
312	0.1572387494
313	0.1571324772
314	0.1570637229
315	0.1569287462
316	0.1569141048
317	0.1568267736
318	0.1567928449
319	0.1567003792
320	0.1565653538
321	0.156417641
322	0.1563734345
323	0.1563440862
324	0.1562789725
325	0.1562013795
326	0.1561391391
327	0.1561022879
328	0.1560668153
329	0.1559861673
330	0.1559545768
331	0.1558917723
332	0.1558326029
333	0.1557777657
334	0.1557459597
335	0.1556682243
336	0.1555842535
337	0.1555618593
338	0.155487249
339	0.1553957047
340	0.1553535813
341	0.1552237813
342	0.1551029918
343	0.1550178202
344	0.1549599175
345	0.1548577087
346	0.154821113
347	0.1547685677
348	0.1546836542
349	0.1546443542
350	0.1545747717
351	0.1544826472
352	0.1544301382
353	0.1543905653
354	0.1543330253
355	0.1543146386
356	0.1542499593
357	0.154171667
358	0.1540917034
359	0.1540497356
360	0.154017537
361	0.1539129249
362	0.1538534092
363	0.1538379573
364	0.1537825251
365	0.1537473983
366	0.1537043161
367	0.1536068783
368	0.1535395883
369	0.1535220318
370	0.1534792531
371	0.1534034018
372	0.1532983346
373	0.1532571045
374	0.1532204213
375	0.1530904048
376	0.1529890291
377	0.1528475709
378	0.1527628177
379	0.1527068758
380	0.1526256112
381	0.1525468024
382	0.1525025184
383	0.1523635415
384	0.1523125062
385	0.1521964614
386	0.1521525007
387	0.1520485858
388	0.1519813138
389	0.1519033924
390	0.1518194746
391	0.1518166316
392	0.1517367323
393	0.1516216678
394	0.1515653806
395	0.1515571589
396	0.151516666
397	0.1513083701
398	0.1511779432
399	0.1510820762
400	0.1509402117
401	0.1508004822
402	0.1507109259
403	0.150583038
404	0.1505279135
405	0.1504727291
406	0.1504269851
