iter	RMSE
0	365.4401513
1	336.8570816
2	311.1366629
3	288.791699
4	269.3547057
5	251.3848584
6	235.7145051
7	221.736121
8	209.4313355
9	198.7039927
10	189.1906998
11	180.8653759
12	173.5274108
13	167.2983509
14	162.224805
15	157.6792128
16	153.5466768
17	149.9460414
18	146.7813479
19	144.1784352
20	141.9342949
21	139.7648805
22	138.0111129
23	136.5249066
24	134.9961068
25	133.7727102
26	132.6671215
27	131.5983815
28	130.6310874
29	129.786339
30	129.0491865
31	128.6559583
32	127.945001
33	127.3976062
34	126.7608321
35	126.2537871
36	125.7709611
37	125.3283731
38	124.9665519
39	124.5436486
40	124.1732651
41	123.7638535
42	123.3932145
43	122.9694167
44	122.5971069
45	122.2450354
46	121.9275988
47	121.6606735
48	121.3784592
49	121.0507533
50	120.6973894
51	120.6262448
52	120.4364826
53	120.1682872
54	119.8409614
55	119.5215547
56	119.1482504
57	118.9021958
58	118.6417854
59	118.4540145
60	118.1534237
61	117.9460473
62	117.7042092
63	117.491929
64	117.2267059
65	117.0167827
66	116.7547575
67	116.5072389
68	116.2910627
69	116.0087665
70	115.7489697
71	115.5094516
72	115.1893187
73	114.9375148
74	114.7044559
75	114.4909904
76	114.3043142
77	113.9351926
78	113.7281047
79	113.4756824
80	113.2368004
81	112.9575382
82	112.7649343
83	112.4697718
84	112.2332348
85	112.0076095
86	111.704814
87	111.4943344
88	111.3106622
89	111.0792664
90	110.9045675
91	110.6575506
92	110.4678555
93	110.2364217
94	110.0720311
95	109.8851783
96	109.7372787
97	109.5606959
98	109.35512
99	109.1383995
100	109.0069968
101	108.8466332
102	108.7034844
103	108.5152942
104	108.2935416
105	108.1521736
106	107.9521752
107	107.8138517
108	107.6822854
109	107.4313729
110	107.1303725
111	106.92314
112	106.7890657
113	106.6672786
114	106.5414311
115	106.4331818
116	106.2470635
117	106.0433753
118	105.8716739
119	105.6465967
120	105.4873818
121	105.3816421
122	105.0580306
123	104.8691203
124	104.6755316
125	104.4776568
126	104.3730499
127	104.1579613
128	103.9531302
129	103.7649699
130	103.5271707
131	103.3051272
132	103.0512856
133	102.8252493
134	102.5936702
135	102.4763037
136	102.3721991
137	102.11275
138	101.9300198
139	101.8282517
140	101.6267465
141	101.5019834
142	101.3564127
143	101.1608095
144	101.0181502
145	100.8871832
146	100.7169546
147	100.4708047
148	100.3246035
149	100.0816743
150	99.98904418
151	99.89855496
152	99.70315597
153	99.44708014
154	99.31053075
155	99.22904704
156	99.15998157
157	98.9264227
158	98.78841369
159	98.59415077
160	98.46777813
161	98.27500806
162	98.08233497
163	97.84186085
164	97.6753487
165	97.57737702
166	97.39468802
167	97.27427443
168	97.1395877
169	96.94469574
170	96.65943641
171	96.54564995
172	96.35725588
173	96.22085306
174	96.0153785
175	95.79000579
176	95.64845343
177	95.45214095
178	95.29409932
179	95.19091746
180	94.981718
181	94.82013334
182	94.59630871
183	94.44131013
184	94.32270369
185	94.2354399
186	94.07692288
187	93.92262549
188	93.77198828
189	93.59569029
190	93.47046845
191	93.3211608
192	93.24789519
193	93.0827269
194	92.91765921
195	92.74011784
196	92.56981239
197	92.42103691
198	92.30808438
199	92.13704812
200	91.90269303
201	91.70372452
202	91.53822718
203	91.38021587
204	91.27034508
205	91.2068494
206	91.01333987
207	90.90121748
208	90.74886513
209	90.61202999
210	90.49590304
211	90.38522283
212	90.19974553
213	90.04899569
214	89.8648701
215	89.68555766
216	89.54131977
217	89.41992086
218	89.34878033
219	89.26132351
220	89.07166562
221	88.96506035
222	88.90386517
223	88.75362938
224	88.62997856
225	88.51091259
226	88.37643373
227	88.18516303
228	88.05194485
229	87.96010921
230	87.79765964
231	87.6296004
232	87.46898746
233	87.38283342
234	87.22947638
235	87.18686211
236	87.02646054
237	86.92875256
238	86.79946008
239	86.67479269
240	86.54452158
241	86.41077199
242	86.27257314
243	86.15266376
244	86.00465135
245	85.89367396
246	85.78859688
247	85.62673342
248	85.4728278
249	85.35996706
250	85.25348225
251	85.10370117
252	84.98831561
253	84.86426501
254	84.79320572
255	84.72765361
256	84.61720849
257	84.43241538
258	84.31991494
259	84.26446737
260	84.18949397
261	84.09274752
262	84.00442402
263	83.9510077
264	83.80163046
265	83.72406768
266	83.55814044
267	83.45956726
268	83.36710899
269	83.28438458
270	83.14227641
271	83.04277202
272	82.97704751
273	82.91465934
274	82.79479145
275	82.6907791
276	82.59773473
277	82.44807186
278	82.35917822
279	82.31796593
280	82.19470094
281	82.11212788
282	82.02614659
283	81.9388787
284	81.86568476
285	81.70899728
286	81.60402125
287	81.54007886
288	81.41055956
289	81.3131259
290	81.21659302
291	81.07839768
292	80.98765272
293	80.83593831
294	80.7586891
295	80.63662185
296	80.45823984
297	80.37465425
298	80.2162781
299	80.096811
300	79.98408994
301	79.93861708
302	79.81855239
303	79.71267121
304	79.61147858
305	79.57510076
306	79.48349534
307	79.33162055
308	79.21151118
309	79.15099137
310	79.0660915
311	78.92803914
312	78.83057862
313	78.78859076
314	78.66397356
315	78.55557452
316	78.40998751
317	78.29500648
318	78.22625638
319	78.03757549
320	77.97929969
321	77.84442102
322	77.72347219
323	77.61385077
324	77.5334581
325	77.42663246
326	77.33131714
327	77.24930321
328	77.17260183
329	77.04879431
330	76.95011855
331	76.86138264
332	76.71882785
333	76.59672444
334	76.5094498
335	76.41485918
336	76.31776922
337	76.22668812
338	76.16159268
339	76.04742562
340	75.97012842
341	75.85387965
342	75.75049636
343	75.66905421
344	75.57842849
345	75.43132293
346	75.38902444
347	75.3023781
348	75.16955958
349	75.13267874
350	75.06195187
351	74.89893013
352	74.8258415
353	74.67859122
354	74.54992088
355	74.44267551
356	74.38046125
357	74.24887886
358	74.15019848
359	74.10085623
360	74.04734347
361	73.95099959
362	73.89255531
363	73.82144123
364	73.74783234
365	73.63172662
366	73.56160198
367	73.43409552
368	73.3219246
369	73.22366442
370	73.15080066
371	73.11701248
372	73.01323713
373	72.95002368
374	72.84550556
375	72.78677933
376	72.74686747
377	72.67027353
378	72.59037775
379	72.48481933
380	72.37492871
381	72.28448427
382	72.21313352
383	72.15409709
384	72.0787737
385	71.95363663
386	71.88740251
387	71.8425789
388	71.75641436
389	71.67093242
390	71.5980587
391	71.51267036
392	71.44087853
393	71.34370866
394	71.25015113
395	71.14780649
396	71.03544088
397	70.96810886
398	70.85677201
399	70.79844045
400	70.76205195
401	70.65873632
402	70.59129687
403	70.51671657
404	70.40915217
405	70.32625328
406	70.18913333
407	70.16005285
408	70.04249847
409	69.9693085
410	69.87568166
411	69.78573315
412	69.74484876
413	69.65563601
414	69.56854865
415	69.51771019
416	69.46516925
417	69.38572354
418	69.35700826
419	69.31553778
420	69.21755552
421	69.1550362
422	69.04820582
423	68.97072577
424	68.86976853
425	68.79889434
426	68.70630197
427	68.63047843
428	68.58572777
429	68.49787273
430	68.42805132
431	68.33351898
432	68.28469588
433	68.21179315
434	68.1852152
435	68.10092945
436	68.03326116
437	67.98303924
438	67.88713003
439	67.7728658
440	67.68889562
441	67.63668249
442	67.57192195
443	67.46771566
444	67.36301308
445	67.30361853
446	67.28010235
447	67.1839931
448	67.10862213
449	67.03409651
450	66.95461606
451	66.89024484
452	66.81449646
453	66.75715526
454	66.71745617
455	66.64621072
456	66.61048738
457	66.55274547
458	66.46240461
459	66.39998466
460	66.30478044
461	66.22462773
462	66.12542868
463	66.07659182
464	66.04283499
465	65.91887671
466	65.86516653
467	65.81054295
468	65.74163886
469	65.67402719
470	65.5809124
471	65.52664269
472	65.49296449
473	65.42874656
474	65.35722093
475	65.2807843
476	65.24974914
477	65.14224002
478	65.11138718
479	65.08192398
480	64.97838165
481	64.86317535
482	64.77225271
483	64.73214053
484	64.65039683
485	64.57603169
486	64.5071111
487	64.41660849
488	64.34636858
489	64.26845773
490	64.22899779
491	64.15070637
492	64.03854644
493	63.97839449
494	63.90694337
495	63.81873982
496	63.74134684
497	63.69153658
498	63.61314029
499	63.54537092
