iter	Passed	Remaining
0	82	41243
1	174	43513
2	245	40751
3	319	39646
4	428	42437
5	501	41281
6	572	40345
7	645	39726
8	715	39010
9	788	38620
10	866	38516
11	938	38160
12	1008	37774
13	1080	37501
14	1098	35507
15	1167	35330
16	1237	35169
17	1311	35105
18	1384	35038
19	1454	34916
20	1526	34814
21	1594	34633
22	1664	34518
23	1749	34691
24	1820	34581
25	1891	34475
26	1962	34384
27	2030	34233
28	2101	34129
29	2174	34072
30	2244	33955
31	2249	32895
32	2320	32833
33	2392	32786
34	2460	32696
35	2538	32712
36	2608	32642
37	2677	32551
38	2751	32527
39	2824	32479
40	2893	32396
41	2965	32340
42	3040	32313
43	3112	32258
44	3185	32208
45	3256	32139
46	3326	32064
47	3405	32065
48	3478	32015
49	3549	31941
50	3621	31881
51	3624	31225
52	3697	31183
53	3765	31103
54	3841	31078
55	3915	31042
56	3983	30962
57	4057	30920
58	4130	30872
59	4204	30829
60	4280	30807
61	4355	30767
62	4427	30708
63	4499	30650
64	4569	30580
65	4642	30531
66	4714	30470
67	4785	30403
68	4860	30361
69	4932	30296
70	5003	30229
71	5072	30151
72	5147	30110
73	5220	30051
74	5290	29978
75	5360	29904
76	5429	29828
77	5507	29794
78	5575	29712
79	5645	29637
80	5717	29577
81	5787	29502
82	5859	29436
83	5931	29374
84	6002	29305
85	6074	29242
86	6146	29179
87	6216	29105
88	6282	29014
89	6353	28941
90	6428	28892
91	6498	28817
92	6568	28745
93	6641	28683
94	6710	28609
95	6784	28552
96	6859	28498
97	6929	28424
98	7006	28378
99	7076	28306
100	7146	28233
101	7225	28194
102	7298	28130
103	7370	28064
104	7445	28007
105	7516	27939
106	7587	27866
107	7660	27803
108	7732	27737
109	7803	27667
110	7886	27639
111	7956	27563
112	8024	27482
113	8098	27422
114	8170	27354
115	8240	27279
116	8319	27233
117	8394	27176
118	8464	27101
119	8539	27041
120	8608	26965
121	8678	26889
122	8755	26836
123	8826	26765
124	8898	26695
125	8970	26626
126	9043	26559
127	9111	26481
128	9184	26415
129	9254	26340
130	9324	26266
131	9400	26206
132	9469	26128
133	9542	26062
134	9611	25985
135	9681	25911
136	9750	25834
137	9821	25762
138	9891	25688
139	9963	25621
140	10035	25551
141	10104	25473
142	10173	25397
143	10245	25328
144	10314	25253
145	10386	25184
146	10460	25119
147	10530	25045
148	10601	24974
149	10672	24902
150	10745	24835
151	10814	24759
152	10886	24689
153	10957	24619
154	11028	24546
155	11098	24472
156	11169	24402
157	11240	24331
158	11313	24262
159	11386	24196
160	11457	24125
161	11533	24062
162	11602	23988
163	11675	23919
164	11747	23850
165	11821	23784
166	11893	23714
167	11970	23655
168	12039	23579
169	12112	23513
170	12184	23441
171	12256	23373
172	12328	23303
173	12398	23229
174	12471	23161
175	12544	23093
176	12616	23023
177	12690	22956
178	12764	22890
179	12834	22817
180	12905	22744
181	12975	22671
182	13043	22594
183	13113	22521
184	13188	22456
185	13256	22380
186	13327	22307
187	13401	22240
188	13472	22168
189	13540	22092
190	13609	22018
191	13681	21947
192	13751	21874
193	13822	21803
194	13892	21729
195	13964	21659
196	14035	21588
197	14106	21516
198	14176	21443
199	14248	21372
200	14320	21302
201	14392	21233
202	14467	21167
203	14538	21094
204	14609	21023
205	14682	20955
206	14752	20881
207	14822	20808
208	14896	20741
209	14968	20670
210	15040	20599
211	15111	20528
212	15184	20459
213	15253	20385
214	15327	20318
215	15400	20248
216	15472	20178
217	15543	20106
218	15614	20035
219	15684	19961
220	15759	19895
221	15831	19824
222	15899	19749
223	15974	19682
224	16045	19610
225	16116	19540
226	16186	19467
227	16257	19394
228	16328	19323
229	16405	19258
230	16477	19187
231	16546	19113
232	16619	19044
233	16690	18973
234	16761	18901
235	16835	18832
236	16907	18762
237	16979	18692
238	17055	18625
239	17125	18552
240	17195	18479
241	17269	18411
242	17341	18340
243	17412	18268
244	17487	18201
245	17559	18130
246	17639	18067
247	17722	18008
248	17792	17935
249	17859	17859
250	17947	17804
251	18027	17741
252	18096	17667
253	18165	17593
254	18237	17521
255	18306	17448
256	18379	17378
257	18451	17307
258	18526	17238
259	18596	17165
260	18667	17094
261	18738	17021
262	18809	16949
263	18880	16878
264	18952	16806
265	19026	16737
266	19095	16664
267	19166	16591
268	19236	16519
269	19313	16452
270	19382	16378
271	19454	16307
272	19526	16236
273	19596	16163
274	19668	16092
275	19739	16020
276	19810	15948
277	19881	15876
278	19955	15806
279	20027	15735
280	20100	15665
281	20174	15595
282	20244	15523
283	20317	15452
284	20389	15381
285	20462	15310
286	20534	15240
287	20609	15170
288	20680	15098
289	20754	15029
290	20825	14957
291	20896	14885
292	20972	14816
293	21042	14744
294	21114	14672
295	21185	14600
296	21254	14527
297	21323	14454
298	21397	14384
299	21471	14314
300	21539	14240
301	21618	14173
302	21686	14099
303	21755	14026
304	21828	13955
305	21900	13884
306	21971	13812
307	22048	13744
308	22117	13671
309	22186	13598
310	22259	13527
311	22332	13457
312	22402	13384
313	22475	13313
314	22546	13241
315	22616	13169
316	22684	13095
317	22757	13024
318	22824	12950
319	22891	12876
320	22957	12801
321	23023	12727
322	23090	12653
323	23160	12580
324	23238	12512
325	23312	12442
326	23384	12371
327	23455	12299
328	23536	12233
329	23606	12160
330	23676	12088
331	23747	12017
332	23818	11944
333	23890	11873
334	23967	11804
335	24040	11734
336	24112	11662
337	24184	11591
338	24255	11519
339	24328	11448
340	24401	11378
341	24481	11310
342	24578	11250
343	24676	11190
344	24763	11125
345	24853	11062
346	24969	11009
347	25072	10951
348	25160	10885
349	25232	10813
350	25303	10741
351	25377	10669
352	25449	10598
353	25523	10526
354	25596	10454
355	25667	10382
356	25739	10310
357	25808	10236
358	25877	10163
359	25949	10091
360	26033	10023
361	26110	9953
362	26184	9882
363	26259	9811
364	26332	9739
365	26401	9666
366	26474	9594
367	26545	9521
368	26620	9450
369	26691	9378
370	26764	9306
371	26833	9233
372	26903	9160
373	26974	9087
374	27048	9016
375	27122	8944
376	27193	8872
377	27265	8800
378	27340	8728
379	27412	8656
380	27484	8584
381	27559	8513
382	27635	8442
383	27706	8369
384	27776	8296
385	27847	8224
386	27918	8151
387	27997	8081
388	28069	8009
389	28143	7937
390	28213	7865
391	28284	7792
392	28363	7722
393	28436	7650
394	28508	7578
395	28579	7505
396	28649	7433
397	28719	7360
398	28798	7289
399	28869	7217
400	28943	7145
401	29012	7072
