iter	Passed	Remaining
0	3	3322
1	5	2514
2	6	2111
3	7	1865
4	8	1724
5	9	1585
6	10	1520
7	11	1471
8	13	1432
9	14	1401
10	15	1374
11	16	1352
12	17	1353
13	18	1336
14	20	1322
15	21	1308
16	22	1297
17	23	1286
18	24	1275
19	25	1266
20	26	1256
21	28	1249
22	29	1241
23	31	1287
24	33	1314
25	37	1388
26	38	1385
27	39	1378
28	40	1369
29	42	1358
30	43	1349
31	44	1343
32	47	1377
33	48	1377
34	49	1368
35	50	1360
36	51	1351
37	53	1343
38	54	1335
39	55	1327
40	56	1320
41	57	1313
42	58	1306
43	59	1299
44	62	1327
45	64	1335
46	65	1337
47	67	1339
48	69	1341
49	70	1342
50	72	1344
51	73	1338
52	74	1338
53	77	1358
54	78	1355
55	80	1349
56	81	1342
57	82	1337
58	83	1330
59	84	1325
60	85	1319
61	86	1313
62	87	1307
63	89	1302
64	90	1297
65	93	1320
66	94	1316
67	95	1310
68	96	1305
69	97	1300
70	98	1294
71	100	1289
72	101	1284
73	102	1279
74	103	1274
75	104	1269
76	105	1265
77	108	1282
78	109	1278
79	110	1274
80	111	1269
81	113	1265
82	114	1261
83	115	1257
84	116	1253
85	117	1249
86	118	1245
87	119	1242
88	120	1238
89	124	1257
90	125	1254
91	126	1250
92	127	1247
93	129	1243
94	130	1239
95	131	1235
96	132	1231
97	133	1228
98	134	1224
99	135	1221
100	136	1217
101	138	1221
102	140	1227
103	143	1236
104	144	1234
105	146	1232
106	147	1229
107	148	1225
108	149	1222
109	150	1219
110	153	1227
111	154	1226
112	156	1224
113	157	1221
114	158	1218
115	159	1214
116	160	1211
117	161	1208
118	162	1205
119	163	1202
120	165	1199
121	166	1196
122	169	1210
123	172	1217
124	173	1214
125	174	1211
126	175	1207
127	176	1204
128	177	1201
129	179	1198
130	180	1195
131	181	1192
132	183	1195
133	185	1195
134	186	1192
135	187	1190
136	188	1186
137	189	1182
138	190	1179
139	191	1176
140	192	1173
141	193	1170
142	194	1167
143	195	1165
144	197	1162
145	199	1169
146	201	1167
147	202	1164
148	203	1162
149	204	1159
150	205	1156
151	206	1153
152	208	1151
153	209	1148
154	210	1146
155	211	1143
156	212	1141
157	216	1154
158	217	1151
159	218	1149
160	220	1146
161	221	1143
162	222	1141
163	223	1138
164	224	1135
165	225	1133
166	226	1130
167	227	1128
168	230	1132
169	232	1134
170	235	1139
171	236	1137
172	237	1135
173	238	1133
174	239	1130
175	240	1128
176	242	1125
177	243	1126
178	246	1128
179	247	1127
180	248	1124
181	249	1122
182	250	1119
183	251	1117
184	253	1114
185	254	1112
186	255	1109
187	256	1107
188	257	1104
189	259	1106
190	261	1106
191	262	1104
192	263	1101
193	264	1099
194	265	1097
195	266	1095
196	268	1092
197	269	1090
198	270	1087
199	271	1085
200	272	1083
201	275	1086
202	276	1085
203	277	1083
204	278	1081
205	279	1078
206	281	1076
207	282	1074
208	283	1071
209	284	1069
210	285	1067
211	286	1065
212	287	1063
213	290	1067
214	291	1065
215	293	1063
216	294	1061
217	295	1059
218	296	1056
219	297	1054
220	298	1052
221	299	1050
222	300	1048
223	301	1046
224	303	1044
225	305	1047
226	307	1045
227	308	1043
228	309	1041
229	310	1039
230	311	1037
231	312	1035
232	313	1032
233	314	1030
234	316	1028
235	317	1026
236	318	1024
237	320	1025
238	322	1027
239	325	1031
240	327	1030
241	328	1029
242	329	1027
243	331	1025
244	332	1023
245	333	1021
246	334	1019
247	337	1023
248	338	1021
249	339	1019
250	340	1017
251	342	1015
252	343	1013
253	344	1011
254	345	1009
255	346	1007
256	347	1005
257	348	1003
258	351	1006
259	353	1005
260	354	1003
261	355	1001
262	356	999
263	357	997
264	358	995
265	360	993
266	361	991
267	362	989
268	363	987
269	364	985
270	367	988
271	368	987
272	369	985
273	370	982
274	372	981
275	373	979
276	374	977
277	375	975
278	376	973
279	377	971
280	378	969
281	379	967
282	383	970
283	384	968
284	385	966
285	386	964
286	387	963
287	388	961
288	389	959
289	391	957
290	392	955
291	393	953
292	394	952
293	395	950
294	398	952
295	399	951
296	401	949
297	402	947
298	403	945
299	404	943
300	405	942
301	406	940
302	408	938
303	409	936
304	410	934
305	413	937
306	416	939
307	418	939
308	419	938
309	421	937
310	422	936
311	424	935
312	425	934
313	427	934
314	429	934
315	433	938
316	447	964
317	450	965
318	452	965
319	453	964
320	455	962
321	456	960
322	457	958
323	458	956
324	461	959
325	462	957
326	464	955
327	465	953
328	466	951
329	467	949
330	468	947
331	469	945
332	470	943
333	471	941
334	473	939
335	476	940
336	477	938
337	478	936
338	479	935
339	480	933
340	481	931
341	482	929
342	484	927
343	485	925
344	486	923
345	487	921
346	488	919
347	491	920
348	492	919
349	494	917
350	495	915
351	496	913
352	497	911
353	498	909
354	499	907
355	500	905
356	501	903
357	502	901
358	504	900
359	506	901
360	508	899
361	509	897
362	510	895
363	511	893
364	512	892
365	513	890
366	515	888
367	516	886
368	517	884
369	518	882
370	519	880
